idx,text,image_path
0,"ROVSUN Ice Maker Machine Countertop, Make 44lbs Ice in 24 Hours, Compact & Portable Ice Maker with Ice Basket for Home, Office, Kitchen, Bar (Silver) ",data/multimodal_search_images/idx_0.jpg
1,"HANSGO Egg Holder for Refrigerator, Deviled Eggs Dispenser Egg Storage Stackable Plastic Egg Containers Hold ups to 10 Eggs ",data/multimodal_search_images/idx_1.jpg
2,"Clothes Dryer Drum Slide, General Electric, Hotpoint, WE1M333, WE1M504 Brand new dryer drum slide, replaces General Electric, Hotpoint, RCA, WE1M333, WE1M504.",data/multimodal_search_images/idx_2.jpg
3,"154567702 Dishwasher Lower Wash Arm Assembly for Kenmore Electrolux Dishwasher Bottom Lower Spray Arm 5304518927, AP6810011,154567701… MODEL NUMBER:154567702 Dishwasher Lower Wash Arm Assembly.  This part is Replaces: AP6810011, 154567702, 5304507175, 154567701, 154335802, 154414201, 154496901, 154496902, 154550002,5304518927,735873135992. Fix Symptoms: When your dishwasher shows the following symptoms: Not cleaning dishes properly, Leaking, Noisy, Not draining.",data/multimodal_search_images/idx_3.jpg
4,Whirlpool W10918546 Igniter Whirlpool Igniter,data/multimodal_search_images/idx_4.jpg
5,1841N030 - Brown Aftermarket Replacement Stove Range Oven Drip Bowl Pan This is a Brand New Aftermarket Replacement Drip Bowl Pan,data/multimodal_search_images/idx_5.jpg
6,WD12X10327 Rack Roller and stud assembly Kit (4 Pack) by AMI PARTS Replaces AP4980629 PS3486910 1811003 ,data/multimodal_search_images/idx_6.jpg
7,"SAMSUNG Cap-Handle Sub Fre L;Nw2 (DA67-02639A) Samsung Assembly Cap Handle-Sub Freezer Left NW2-FDR,INO . Manufacturer's Product Number: SAM-DA97-11912L",data/multimodal_search_images/idx_7.jpg
8,"G.a HOMEFAVOR Cold Brew Coffee Infuser 64oz (2 Quart), Stainless Steel Filter Kit for Wide Mason Jar and Iced Tea Maker at Home ",data/multimodal_search_images/idx_8.jpg
9,"3-pack OnePurify Water Filter Replacement Cartridge for LG, Kenmore, Swift Green, Water Sentinel, Supco, Amana, Maytag This OnePurify refrigerator water filter contains a compressed carbon block that provides tremendous capacity to remove and/or reduce impurities and sediment that may be present in your drinking water. The carbon block has millions of active sites on it's surface and within the structure which can absorb impurities like a sponge, and can absorb and hold other types of impurities on its surface like a magnet. Additionally this filter can catalytically breakdown other impurities very similar to the way a catalytic converter works in your automobile. These processes ensure that you are getting the cleanest and best tasting water possible. This filter should not be used with water that is micro biologically unsafe or of unknown quality, without adequate disinfection before and or after the filter. This filter has been tested by the manufacturer against ANSI/NSF Standard 42 for the reduction of Chlorine Tastes and Odors. MWF compatible filter removes the following contaminants: 99.30% of Lead at pH 6.5 99.90% of Lead at pH 8.5 94.50% of Mercury at pH 6.5 96.60% of Mercury at pH 8.5 99.92% of Asbestos 89.60% of Benzene 99.90% of P-Dichlorobenzene 99.99% of Cysts 98.70% of Carbofuran 97.00% of Chlorine 99.10% of Turbidity 97.60% of Particulates (Class I) All filters are certified to be free from leaks if properly installed and to function with the latest modifications from the OEM. All components NSF-42/53 certified. The Activated Carbon Block Filter inside has NSF42/53 approval. The quality of the filter is the same or better than the OEM branded filter. Manufactured in an ISO9001 facility. Technical Specifications: MATERIAL: NSF Coconut shell Activated Carbon; MICRON RATE: 0.5 Micron; OPERATING TEMP.: 39-125 degrees Fahrenheit; MAX. OPERATING PRESSURE: 20-120psi; FLOW RATE: 0.8 GPM; FILTRATION LIFE: 6 months/400Gal *Depends on water quality and level of contaminants.",data/multimodal_search_images/idx_9.jpg
10,WP67003405 67003405 Door Pivot Block - Compatible Kenmore KitchenAid Maytag Whirlpool Refrigerator - Replaces AP6010352 8208254 PS11743531 - Quick DIY Repair Solution ,data/multimodal_search_images/idx_10.jpg
